StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
BLSFSPY2,2022-Apr-05 19:58:00,2022-Apr-05 19:58:00,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,450.665000,2,0,0,2,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292512,,limit price is not an increment of minimum tick size
BLSFSPY2,2022-Apr-06 13:34:18.283000,2022-Apr-06 13:34:18.283000,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,450.980300,-2,0,0,-2,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292513,,limit price is not an increment of minimum tick size
BLSFSPY2,2022-Apr-06 19:58:00.012000,2022-Apr-06 19:58:00.012000,FILLED,FILL,SPY,BUY,LIMIT,DAY,447.140000,100,0,100,0,447.140000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292514,,
BLSFSPY2,2022-Apr-07 18:51:39.578000,2022-Apr-07 18:51:39.578000,FILLED,FILL,SPY,SELL,LIMIT,DAY,450.740000,-102,0,-102,0,450.740000,1.152251,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292515,,
BLSFSPY2,2022-Apr-07 19:58:00.007000,2022-Apr-07 19:58:00.007000,FILLED,FILL,SPY,BUY,LIMIT,DAY,448.750000,100,0,100,0,448.750000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292516,,
BLSFSPY2,2022-Apr-11 19:30:52.936000,2022-Apr-11 19:30:52.936000,FILLED,FILL,SPY,SELL,LIMIT,DAY,460.360000,-202,0,-202,0,460.360000,2.325437,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292517,,
BLSFSPY2,2022-Apr-11 19:58:00.004000,2022-Apr-11 19:58:00.004000,FILLED,FILL,SPY,BUY,LIMIT,DAY,439.680000,89,0,89,0,439.680000,0.106800,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292518,,
BLSFSPY2,2022-Apr-20 13:30:00,2022-Apr-20 13:30:00,REJECTED,REJECT,SPY,SELL,LIMIT,DAY,446.925000,-291,0,0,-291,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292519,,limit price is not an increment of minimum tick size
BLSFSPY2,2022-Apr-20 19:58:00.005000,2022-Apr-20 19:58:00.005000,FILLED,FILL,SPY,BUY,LIMIT,DAY,444.630000,100,0,100,0,444.630000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292520,,
BLSFSPY2,2022-Apr-21 13:30:00,2022-Apr-21 13:30:00,FILLED,FILL,SPY,SELL,LIMIT,DAY,448.540000,-391,0,-391,0,448.540000,4.397693,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292521,,
BLSFSPY2,2022-Apr-21 19:58:00.045000,2022-Apr-21 19:58:00.045000,FILLED,FILL,SPY,BUY,LIMIT,DAY,437.940000,1,0,1,0,437.940000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292522,,
