Name,Time,Cumulative PnL
TKSPY,2019-Oct-30 13:30:20.102000,-0.096000
TKSPY,2019-Oct-30 13:31:34.746000,-1.618000
TKSPY,2019-Oct-30 13:32:48.656000,-2.057600
TKSPY,2019-Oct-30 13:33:57.452000,-1.129600
TKSPY,2019-Oct-30 13:35:02.624000,-8.236400
TKSPY,2019-Oct-30 13:36:08.192000,-6.450800
TKSPY,2019-Oct-30 13:37:15.922000,-13.138000
TKSPY,2019-Oct-30 13:38:25.858000,-20.255200
TKSPY,2019-Oct-30 13:39:40.830000,-23.619600
TKSPY,2019-Oct-30 13:40:54.322000,-31.203200
TKSPY,2019-Oct-30 13:42:02.113000,-28.357200
TKSPY,2019-Oct-30 13:43:02.647000,-10.859000
TKSPY,2019-Oct-30 13:44:11.747000,16.449600
TKSPY,2019-Oct-30 13:45:39.640000,-14.610000
TKSPY,2019-Oct-30 13:46:45.311000,-6.740800
TKSPY,2019-Oct-30 13:48:00.814000,0.324800
TKSPY,2019-Oct-30 13:49:02.560000,15.066800
TKSPY,2019-Oct-30 13:50:04.243000,23.163600
TKSPY,2019-Oct-30 13:51:20.896000,-4.696000
TKSPY,2019-Oct-30 13:52:39.379000,12.367200
TKSPY,2019-Oct-30 13:54:08.313000,9.327600
TKSPY,2019-Oct-30 13:55:09.642000,6.309200
TKSPY,2019-Oct-30 13:56:27.280000,-9.226800
TKSPY,2019-Oct-30 13:57:34.816000,-15.631600
TKSPY,2019-Oct-30 13:58:39.627000,8.416400
TKSPY,2019-Oct-30 13:59:49.748000,-1.569400
TKSPY,2019-Oct-30 14:00:52.299000,-30.522800
TKSPY,2019-Oct-30 14:02:02.439000,-29.012400
TKSPY,2019-Oct-30 14:03:29.285000,-32.769200
TKSPY,2019-Oct-30 14:04:31.786000,23.829600
TKSPY,2019-Oct-30 14:05:36.979000,62.117200
TKSPY,2019-Oct-30 14:06:44.708000,6.393200
TKSPY,2019-Oct-30 14:07:52.859000,71.511200
TKSPY,2019-Oct-30 14:09:04.971000,93.472800
TKSPY,2019-Oct-30 14:10:19.226000,156.902400
TKSPY,2019-Oct-30 14:11:28.217000,149.405200
TKSPY,2019-Oct-30 14:12:32.342000,149.558000
TKSPY,2019-Oct-30 14:13:39.431000,141.704600
TKSPY,2019-Oct-30 14:14:53.910000,122.616400
TKSPY,2019-Oct-30 14:16:03.920000,71.094400
TKSPY,2019-Oct-30 14:17:10.579000,51.201200
TKSPY,2019-Oct-30 14:18:22.852000,119.293200
TKSPY,2019-Oct-30 14:19:37.162000,155.862400
TKSPY,2019-Oct-30 14:20:38.407000,184.756800
TKSPY,2019-Oct-30 14:21:38.680000,155.494800
TKSPY,2019-Oct-30 14:23:12.880000,117.187600
TKSPY,2019-Oct-30 14:24:27.366000,86.776800
TKSPY,2019-Oct-30 14:25:35.868000,69.400800
TKSPY,2019-Oct-30 14:27:10.602000,96.731600
TKSPY,2019-Oct-30 14:28:17.597000,248.714200
TKSPY,2019-Oct-30 14:29:21.459000,181.509400
TKSPY,2019-Oct-30 14:30:30.217000,99.376000
TKSPY,2019-Oct-30 14:31:30.465000,11.744000
TKSPY,2019-Oct-30 14:32:36.295000,1.866800
TKSPY,2019-Oct-30 14:33:53.498000,-27.648800
TKSPY,2019-Oct-30 14:34:59.367000,-22.978200
TKSPY,2019-Oct-30 14:35:59.935000,164.831200
TKSPY,2019-Oct-30 14:37:07.242000,206.184400
TKSPY,2019-Oct-30 14:38:19.622000,86.282400
TKSPY,2019-Oct-30 14:39:33.706000,96.565200
TKSPY,2019-Oct-30 14:40:42.540000,186.319200
TKSPY,2019-Oct-30 14:41:55.963000,154.368400
TKSPY,2019-Oct-30 14:43:02.989000,191.971200
TKSPY,2019-Oct-30 14:44:18.269000,164.879200
TKSPY,2019-Oct-30 14:45:34.316000,159.763400
TKSPY,2019-Oct-30 14:46:41.344000,214.381000
TKSPY,2019-Oct-30 14:47:55.428000,302.462600
TKSPY,2019-Oct-30 14:49:05.531000,302.786800
TKSPY,2019-Oct-30 14:50:11.491000,205.960800
TKSPY,2019-Oct-30 14:51:15.901000,251.706000
TKSPY,2019-Oct-30 14:52:28.335000,280.270000
TKSPY,2019-Oct-30 14:53:49.977000,309.062800
TKSPY,2019-Oct-30 14:55:11.617000,297.395600
TKSPY,2019-Oct-30 14:56:19.994000,390.583600
TKSPY,2019-Oct-30 14:57:24.669000,349.652600
TKSPY,2019-Oct-30 14:59:00.126000,337.838200
TKSPY,2019-Oct-30 15:00:34.730000,337.851000
TKSPY,2019-Oct-30 15:01:48.900000,295.811600
TKSPY,2019-Oct-30 15:02:56.671000,265.600400
TKSPY,2019-Oct-30 15:03:56.821000,248.036400
TKSPY,2019-Oct-30 15:04:58.282000,291.055400
TKSPY,2019-Oct-30 15:06:29.213000,260.150800
TKSPY,2019-Oct-30 15:07:34.965000,185.121600
TKSPY,2019-Oct-30 15:09:05.294000,285.925600
TKSPY,2019-Oct-30 15:10:05.766000,209.607600
TKSPY,2019-Oct-30 15:11:13.914000,235.190400
TKSPY,2019-Oct-30 15:12:18.285000,350.997200
TKSPY,2019-Oct-30 15:13:19.290000,350.928800
TKSPY,2019-Oct-30 15:14:23.656000,253.306600
TKSPY,2019-Oct-30 15:15:35.654000,169.084000
TKSPY,2019-Oct-30 15:16:39.101000,169.024400
TKSPY,2019-Oct-30 15:17:45.434000,155.940000
TKSPY,2019-Oct-30 15:18:49.811000,73.906000
TKSPY,2019-Oct-30 15:20:04.914000,32.690800
TKSPY,2019-Oct-30 15:21:18.128000,-107.809200
TKSPY,2019-Oct-30 15:22:23.160000,-136.181200
TKSPY,2019-Oct-30 15:23:24.891000,-79.084400
TKSPY,2019-Oct-30 15:24:42.246000,-57.506600
TKSPY,2019-Oct-30 15:25:54.417000,-172.851000
TKSPY,2019-Oct-30 15:27:15.656000,-41.533000
TKSPY,2019-Oct-30 15:28:22.708000,-92.832400
TKSPY,2019-Oct-30 15:29:54.195000,-33.679600
TKSPY,2019-Oct-30 15:31:28.381000,-3.905200
TKSPY,2019-Oct-30 15:32:39.503000,-3.807200
TKSPY,2019-Oct-30 15:34:00.447000,-49.270400
TKSPY,2019-Oct-30 15:35:23.855000,-18.877600
TKSPY,2019-Oct-30 15:36:34.875000,72.525200
TKSPY,2019-Oct-30 15:38:01.640000,111.109600
TKSPY,2019-Oct-30 15:39:10.636000,41.442800
TKSPY,2019-Oct-30 15:40:21.100000,-44.195800
TKSPY,2019-Oct-30 15:41:33.438000,-51.483600
TKSPY,2019-Oct-30 15:42:50.993000,-162.280400
TKSPY,2019-Oct-30 15:44:15.704000,-305.968800
TKSPY,2019-Oct-30 15:45:38.375000,-354.217200
TKSPY,2019-Oct-30 15:46:52.105000,-337.510000
TKSPY,2019-Oct-30 15:48:04.341000,-279.681000
TKSPY,2019-Oct-30 15:49:08.452000,-254.981600
TKSPY,2019-Oct-30 15:50:20.251000,-4.517200
TKSPY,2019-Oct-30 15:51:20.411000,-38.176800
TKSPY,2019-Oct-30 15:52:23.500000,-71.804800
