Name,Time,Cumulative PnL
torch123,2022-Aug-01 13:30:16.754972,-16.036541
torch123,2022-Aug-01 13:31:23.295706,-24.156541
torch123,2022-Aug-01 13:32:27.381117,33.806717
torch123,2022-Aug-01 13:33:33.126694,40.806717
torch123,2022-Aug-01 13:34:39.216768,37.806717
torch123,2022-Aug-01 13:35:53.105089,12.686717
torch123,2022-Aug-01 13:36:54.186742,12.686717
torch123,2022-Aug-01 13:37:57.126754,12.686717
torch123,2022-Aug-01 13:38:58.143953,12.686717
torch123,2022-Aug-01 13:39:59.959310,12.686717
torch123,2022-Aug-01 13:41:04.926245,-11.850720
torch123,2022-Aug-01 13:42:07.235676,-66.350720
torch123,2022-Aug-01 13:43:10.351237,-64.350720
torch123,2022-Aug-01 13:44:12.886769,-64.350720
torch123,2022-Aug-01 13:45:24.336254,-68.470720
torch123,2022-Aug-01 13:46:27.974726,-51.509814
torch123,2022-Aug-01 13:47:32.670891,-57.509814
torch123,2022-Aug-01 13:48:35.047814,-73.629814
torch123,2022-Aug-01 13:49:39.745605,-63.669290
torch123,2022-Aug-01 13:50:49.234887,-66.669290
torch123,2022-Aug-01 13:52:01.199706,-76.789290
torch123,2022-Aug-01 13:53:12.895892,-80.330064
torch123,2022-Aug-01 13:54:17.735613,-109.330064
torch123,2022-Aug-01 13:55:27.803912,-110.830064
torch123,2022-Aug-01 13:56:28.759831,-107.830064
torch123,2022-Aug-01 13:57:33.585285,-147.872384
torch123,2022-Aug-01 13:58:42.671581,-119.872384
torch123,2022-Aug-01 13:59:51.901492,-31.872384
torch123,2022-Aug-01 14:01:01.948201,-71.034726
torch123,2022-Aug-01 14:02:10.022260,-5.154726
torch123,2022-Aug-01 14:03:15.395681,2.845274
torch123,2022-Aug-01 14:04:16.133661,-13.196397
torch123,2022-Aug-01 14:05:34.937090,-143.196397
torch123,2022-Aug-01 14:06:44.939535,-289.240531
torch123,2022-Aug-01 14:07:51.990437,-175.240531
torch123,2022-Aug-01 14:09:00.282511,-97.360531
torch123,2022-Aug-01 14:10:15.967119,-128.360531
torch123,2022-Aug-01 14:11:23.077670,-144.404800
torch123,2022-Aug-01 14:12:38.818895,-228.404800
torch123,2022-Aug-01 14:13:59.263469,-195.524800
torch123,2022-Aug-01 14:15:06.612850,-172.524800
torch123,2022-Aug-01 14:16:31.748346,-128.524800
torch123,2022-Aug-01 14:17:53.212208,-41.144800
torch123,2022-Aug-01 14:19:05.883728,-13.644800
torch123,2022-Aug-01 14:20:09.938810,85.313709
torch123,2022-Aug-01 14:21:31.418486,95.193709
torch123,2022-Aug-01 14:22:36.889274,84.193709
torch123,2022-Aug-01 14:23:49.995513,38.152867
torch123,2022-Aug-01 14:24:55.423494,72.032867
torch123,2022-Aug-01 14:25:55.914223,99.532867
torch123,2022-Aug-01 14:27:00.030714,113.032867
torch123,2022-Aug-01 14:28:04.220171,152.032867
torch123,2022-Aug-01 14:29:13.236561,174.912867
torch123,2022-Aug-01 14:30:20.837946,173.873123
torch123,2022-Aug-01 14:31:25.271185,169.873123
torch123,2022-Aug-01 14:32:31.151243,152.753123
torch123,2022-Aug-01 14:33:40.761483,152.753123
torch123,2022-Aug-01 14:34:50.229238,139.713178
torch123,2022-Aug-01 14:35:58.807567,136.593178
torch123,2022-Aug-01 14:37:09.514396,134.552874
torch123,2022-Aug-01 14:38:12.948963,102.552874
torch123,2022-Aug-01 14:39:26.021988,106.432874
torch123,2022-Aug-01 14:40:36.963814,90.391405
torch123,2022-Aug-01 14:41:39.020666,87.391405
torch123,2022-Aug-01 14:42:45.229925,72.891405
torch123,2022-Aug-01 14:43:56.820046,38.391405
torch123,2022-Aug-01 14:45:10.691138,35.891405
torch123,2022-Aug-01 14:46:29.465662,-8.651498
